country,LanguagesOfficialOrNationalLanguage,LanguagesMinorityLanguage,LanguagesOtherWidelySpokenLanguages
India,"Hindi, English",,"Bengali, Telugu, Marathi, Tamil, Punjabi, Gujarati, Bhojpuri, Kannada, Malayalam, Odiya, Maithili, Assamese, Bhili, Santali, Kashmiri, Gondi, Nepali, Sindhi, Dogri, Konkani, Kurukh, Khandeshi, Tulu, Meitei, Bodo, Khasi, Ho, Garo, Mundari, Tripuri"
China,Mandarin Chinese,"Mongolian, Uyghur, Tibetan, Zhuang, Kazakh, Korean",
United States,English,,
Indonesia,Indonesian,,"Malay, Javanese, Sundanese, Madurese, Minangkabau"
Pakistan,"Urdu, English",,"Punjabi, Balochi, Sindhi, Pashto"
Nigeria,English,,"Hausa, Yoruba, Igbo, Tiv"
Brazil,Portuguese,,
Bangladesh,Bengali,,
Russia,Russian,,
Ethiopia,"Afar, Amharic, Oromo, Somali, Tigrinya","Benshangul, Gumuz, Harari, Kunama, Sidamo",
Mexico,Spanish,,
Japan,Japanese,,
Egypt,Arabic,Coptic,
Philippines,"Filipino, English",,
DR Congo,French,"Lingala, Kikongo","Swahili, Tshiluba"
Vietnam,Vietnamese,"Cantonese, Cham, Hmong, Khmer, Lao, Muong, Rade, Tay, Thai",
Iran,Persian,,"Azerbaijani, Kurdish, Luri, Gilaki, Mazanderani, Balochi, Arabic, Qashqai, Tati, Turkmeni"
Turkey,Turkish,Kurdish,
Germany,German,"Danish, Lower Sorbian, North Frisian, Romani, Upper Sorbian",
Thailand,Thai,,
United Kingdom,"English, Irish, Scottish, Gaelic, Welsh",,
Tanzania,English,,Swahili
France,French,"Corsican, Basque, Breton",Occitan language
South Africa,"Afrikaans, English, Southern Ndebele, Sotho, Northern Sotho, Swazi, Tsonga, Tswana, Venda, Xhosa, Zulu",,
Italy,Italian,"Ladin, Slovene",
Kenya,"English, Swahili",,
Myanmar,Burmese,,English
Colombia,Spanish,,
South Korea,Korean,,
Sudan,"Arabic, English",,
Uganda,"English, Swahili",,
Spain,Spanish,"Astur-Leonese, Aragonese, Fala, French, Portuguese",
Algeria,"Arabic, Tamazight",,French
Iraq,"Arabic, Kurdish",,
Argentina,Spanish,,Argentine Spanish
Afghanistan,"Persian (Dari), Pashto",,
Yemen,Arabic,,
Canada,"English, French","Chipewyan, Cree, Gwich'in, Inuinnaqtun, Inuktitut, Inuvialuktun, North Slavey, South Slavey",
Poland,Polish,,
Morocco,"Arabic, Tamazight",,Darija
